
"INSTRMNT_TYPE","ISIN","SHRT_NAME","REINVESTMENT_OPTION","DIVIDEND_PERIODICITY"
"Collective Investment","IE00BHR3YT76","DVAM GLOBAL EQUITY INCOME GBP E2 INC","Distribution","Bi_Annual"
"Collective Investment","IE00B66BK865","PIMCO GBL INVRS GBL INV CRED HGD INC EUR","Distribution","Quarter"
"Collective Investment","LU0757431225","THREADNEEDLE MGMT GBL FOCUS W EUR","Distribution","Bi_Annual"
"Collective Investment","IE00BVXBGY20","WISDOMTREE ISSUER GERMANY EQUITY UCITS GBP HD","Distribution","Bi_Annual"
"Collective Investment","GB00BJ04HJ27","INVESCO FD MNGRS IP GBL SMLR COS Y INC GBP","Distribution","Year"
"Collective Investment","GB00B39R2M86","M&G SECURITIES LTD GLOBAL DIVIDEND INC A GBP","Distribution","Month"
"Collective Investment","GB0005673453","PREMIER PORTFOLIO STRATEGIC HIGH INCOME BOND A NET INC GBP","Distribution","Quarter"
"Collective Investment","LU1273507878","FIL INV MGMT LUX GERMANY Y EUR","Distribution","Year"
"Collective Investment","GB00B7FB6W02","FIDELITY ENHANCED INCOME Y INC NAV GBP","Distribution","Quarter"
"Collective Investment","LU1282649810","ALLIANZ GIF ASIAN MULTI INC PLUS AMG H2","Distribution","Month"
"Collective Investment","LU2325744022","BLACKROCK GLOBAL SYSTEMATIC GLOBAL EQUITY HIGH INC D5G","Distribution","Year"
"Collective Investment","LU1064925735","FIL INV MGMT LUX AMERICA Y USD INC NAV","Distribution","Year"
"Collective Investment","LU0493851884","ASHMORE SICAV EM CORP DEBT RETL USD","Distribution","Month"
"Collective Investment","IE0002G0H7Z7","NEW CAPITAL GLOBAL VALUE CREDIT FUND USD I INC","Distribution","Year"
"Collective Investment","IE0003561788","INVESCO AM IRL LTD GLOBAL HIGH INCOME A DIS","Distribution","Bi_Annual"
"Collective Investment","CH0002792114","UBS CH ST YIELD P CHF","Distribution","Year"
"Collective Investment","LU0889564943","FRANKLIN TEMPL INT EMG MKTS BOND AM H1 INC","Distribution","Month"
"Collective Investment","GB00B1TWMJ68","LEGAL AND GENERAL STRATEGIC BOND FUND INC R GBP","Distribution","Quarter"
"Collective Investment","LU0048621477","FIDELITY FUNDS   THAILAND USD DIS","Distribution","Year"
"Collective Investment","GG00BWX5H601","MARLBOROUGH INTL HIGH YIELD FXD INT C GBP IN","Distribution","Bi_Annual"
"Collective Investment","IE00B4V5ND50","POLAR CAPITAL EMG MKTS INC I INC","Distribution","Bi_Annual"
"Collective Investment","GB00B7K77205","Fidelity Inv Serv UK Ltd Global High Yield Inc A","Distribution","Month"
"Collective Investment","GB00BFPC0725","FIL INV SVCS UK MULTI ASSET BAL INC W INC N","Distribution","Month"
"Collective Investment","GB0006838097","ARTEMIS HIGH INCOME FUND CLASS R DIST UNITS INCOME UNITS","Distribution","Quarter"
"Collective Investment","GB0003500286","AXA INV MGRS UK LTD MONTHLY INCOME INC GBP","Distribution","Month"
"Collective Investment","GB0005753719","AXA INV MGRS UK LTD HEALTH INC R GBP","Distribution","Bi_Annual"
"Collective Investment","IE00B23Z7S25","FTGF GBL W/A GBL MULTI STRT A GBP DIS M HDG","Distribution","Month"
"Collective Investment","LU1041599660","JP MORGAN AM INCOME A USD INC NAV","Distribution","Quarter"
"Collective Investment","LU0316492692","FRANKLIN TEMPLETON GLOBAL BOND A MDIS H1 GBP","Distribution","Month"
"Collective Investment","IE00BK0P2757","LEGG MASON WESTERN ASSET DIVERSIFIED A","Distribution","Quarter"
"Collective Investment","LU1322539278","RBS (LUXEMBOURG) AQR STYLE PREMIA UCITS K GB","Distribution","Year"
"Collective Investment","GB00BKDZ8X00","VT GRAVIS UK LISTED PROPERTY FEEDER FUND CLASS F INC","Distribution","Quarter"
"Collective Investment","LU0080751232","FF - FPS GLOBAL GROWTH FUND A USD","Distribution","Year"
"Collective Investment","GB0006662208","JUPITER UT MGRS ASIAN INC GBP","Distribution","Year"
"Collective Investment","LU0035763456","VONTOBEL AM US EQUITY A INC","Distribution","Year"
"Collective Investment","LU0432616141","INVESCO AM IRL GBL INV GRADE CORP BD A USD","Distribution","Year"
"Collective Investment","GB0033053603","INVESCO-UK FOCUS UK INC SUSP","Distribution","Year"
"Collective Investment","IE00B5LD7P60","J O HAMBRO CAPITAL JAPAN HEDGED A DIS NAV GBP","Distribution","Year"
"Collective Investment","LU1280371284","JANUS HENDERSON HORIZON GLOBAL HIGH YIELD BOND FUND A3Q USD","Distribution","Quarter"
"Collective Investment","GB0033050690","INVESCO-CORPORATE BOND UK INC","Distribution","Bi_Annual"
"Collective Investment","IE00B3D07K68","BLACKROCK AM (IE) ISHARES EMG MKTS IDX INST","Distribution","Quarter"
"Collective Investment","LU2065168101","HSBC INV FD LUX SA ASIA HIGH YIELD BND AM3 SGD INC","Distribution","Month"
"Collective Investment","LU1551013342","ALLIANZ GLB INVEST INCOME AND GTH AMG2 INC","Distribution","Month"
"Collective Investment","LU0345771025","NINETY-ONE GSF GLOBAL STRAT EQ C INC","Distribution","Year"
"Collective Investment","IE00B23ZC102","LEGG MASON ROYCE US SMALLER COMPANIES FUND A","Distribution","Year"
"Collective Investment","LU0197773673","HSBC GIF ASIA PAC EX JAP HI DIV AD$","Distribution","Quarter"
"Collective Investment","GB00BHL2BS86","ARTEMIS INCOME FUND C INC","Distribution","Bi_Annual"
"Collective Investment","IE00B8GCJK88","FIRST SENTIER ASIAN QUALITY BOND FUND CLASS I INC","Distribution","Month"
"Collective Investment","LU1558495252","ABERDEEN STD SERV DIVERSIFIED INC A MINC","Distribution","Month"
"Collective Investment","KYG8135U2223","SILVERDALE FUND SPC-SP12","Distribution","Quarter"
"Collective Investment","IE00BD842209","BNY MELLON GLB FDS US EQUITY INCOME E GBP DIS","Distribution","Quarter"
"Collective Investment","LU1670724456","M&G SECURITIES OPTIMAL INCOME A INC","Distribution","Bi_Annual"
"Collective Investment","IE00BKX45Y70","DIMENSIONAL GLOBAL ULTRA SHORT FIXED INCOME EUR INC","Distribution","Year"
